time,vbus,vbat,ibus,iloa,ibat
0.016667,4.835,3.534131,0.010228,0.01084,-0.032567
0.033333,4.837457,3.610477,0.578342,0.014922,0.722232
0.05,4.835287,3.597263,0.584863,0.131333,0.581536
0.066667,4.830048,3.597409,0.587917,0.135364,0.583296
0.083333,4.830427,3.59754,0.587097,0.133192,0.578018
0.1,4.832216,3.597784,0.584353,0.132457,0.578256
0.116667,4.832691,3.597891,0.587254,0.134251,0.583265
0.133333,4.832295,3.598134,0.588023,0.13594,0.581639
0.15,4.832859,3.598241,0.586499,0.134538,0.580315
0.166667,4.831724,3.598343,0.584847,0.133767,0.58021
0.183333,4.832432,3.598571,0.586362,0.135961,0.581649
0.2,4.83416,3.598542,0.587409,0.135971,0.582841
0.216667,4.83183,3.598683,0.587838,0.135303,0.578087
0.233333,4.832122,3.598749,0.584343,0.133904,0.582864
0.25,4.831902,3.598936,0.588941,0.134586,0.581045
0.266667,4.832057,3.599077,0.586172,0.133635,0.580505
0.283333,4.834254,3.599145,0.587176,0.136907,0.58066
0.3,4.832875,3.599186,0.58313,0.134506,0.582654
0.316667,4.832836,3.599376,0.587264,0.132059,0.58058
0.333333,4.832673,3.599396,0.587318,0.134325,0.580202
0.35,4.832764,3.599526,0.587814,0.13195,0.579497
0.366667,4.83364,3.599529,0.584758,0.135429,0.5804
0.383333,4.833783,3.599702,0.584364,0.134724,0.58096
0.4,4.832148,3.599762,0.585315,0.135136,0.581905
0.416667,4.832356,3.599847,0.58716,0.135469,0.580907
0.433333,4.832278,3.599914,0.585978,0.133745,0.580945
0.45,4.833918,3.599978,0.583814,0.135279,0.580638
0.466667,4.833752,3.600062,0.585058,0.137263,0.582412
0.483333,4.832782,3.600107,0.586818,0.135831,0.580167
0.5,4.832364,3.600228,0.586852,0.13423,0.579793
0.516667,4.832661,3.600403,0.584321,0.133408,0.584756
0.533333,4.834168,3.600335,0.585878,0.136471,0.578477
0.55,4.835758,3.600375,0.586239,0.134773,0.580326
0.566667,4.832869,3.600601,0.586074,0.136826,0.579759
0.583333,4.832843,3.600496,0.585466,0.13321,0.580185
0.6,4.832141,3.600579,0.584257,0.136171,0.580387
0.616667,4.834698,3.600442,0.585518,0.133644,0.574795
0.633333,4.833363,3.600554,0.583843,0.134488,0.579334
0.65,4.833519,3.600611,0.586639,0.135669,0.575937
