time,vbus,vbat,ibus,iload,ibat
0.016667,4.832905,3.948501,0.00651,0.010906,-0.036884
0.033333,4.831967,4.037148,0.576551,0.018972,0.63528
0.05,4.833694,4.021664,0.583696,0.13617,0.510004
0.066667,4.832249,4.021758,0.583884,0.135734,0.509686
0.083333,4.833768,4.0218,0.580786,0.137811,0.509594
0.1,4.829349,4.022246,0.580725,0.133977,0.506389
0.116667,4.827574,4.022512,0.582764,0.133651,0.511098
0.133333,4.830941,4.022736,0.585498,0.136235,0.510221
0.15,4.830079,4.022896,0.583238,0.136442,0.511164
0.166667,4.83092,4.022944,0.582876,0.136019,0.508522
0.183333,4.828261,4.023358,0.584425,0.133981,0.508032
0.2,4.828267,4.023292,0.583045,0.135282,0.512311
0.216667,4.830502,4.023378,0.582469,0.138843,0.51172
0.233333,4.831704,4.023461,0.582103,0.135314,0.509478
0.25,4.833021,4.023635,0.582989,0.135655,0.510241
0.266667,4.828229,4.023845,0.583625,0.134486,0.509982
0.283333,4.830588,4.023922,0.58227,0.136095,0.511673
0.3,4.82943,4.02404,0.581416,0.13333,0.510034
0.316667,4.830526,4.024163,0.58224,0.137751,0.511538
0.333333,4.833181,4.02424,0.583257,0.136842,0.509827
0.35,4.829372,4.024311,0.584829,0.134867,0.513027
0.366667,4.832078,4.024408,0.584938,0.136308,0.510812
0.383333,4.829208,4.024654,0.584492,0.134999,0.511493
0.4,4.832166,4.024478,0.58375,0.137824,0.513334
0.416667,4.829623,4.024812,0.584326,0.137334,0.51254
0.433333,4.832502,4.02473,0.584232,0.135591,0.509577
0.45,4.831234,4.024797,0.582947,0.138702,0.508018
0.466667,4.830188,4.024853,0.583007,0.137168,0.513318
0.483333,4.831405,4.02491,0.581908,0.137264,0.51267
0.5,4.830185,4.025036,0.58372,0.136522,0.509622
0.516667,4.832415,4.025194,0.580788,0.137606,0.51135
0.533333,4.829807,4.025097,0.581935,0.136648,0.509669
0.55,4.830255,4.025254,0.58433,0.137245,0.511975
0.566667,4.8315,4.025373,0.583101,0.136828,0.511544
0.583333,4.830729,4.025371,0.582555,0.136444,0.509761
0.6,4.832812,4.025357,0.580043,0.137025,0.51057
0.616667,4.830566,4.025387,0.580933,0.134714,0.510683
0.633333,4.830363,4.025424,0.57935,0.135656,0.512427
0.65,4.832179,4.025332,0.579944,0.136377,0.510148
0.666667,4.832242,4.025356,0.580824,0.136819,0.509909
0.683333,4.832879,4.025351,0.583659,0.139031,0.510317
0.7,4.831405,4.025305,0.579423,0.133588,0.511337
0.716667,4.830009,4.025492,0.579746,0.136373,0.507611
0.733333,4.828734,4.02577,0.581499,0.136052,0.50689
0.75,4.831197,4.02569,0.582205,0.136962,0.506601
0.766667,4.831836,4.025673,0.581825,0.13455,0.506759
0.783333,4.830045,4.025701,0.580592,0.133577,0.50447
0.8,4.831157,4.025621,0.577968,0.132569,0.506092
0.816667,4.829896,4.025552,0.579436,0.136922,0.504105
0.833333,4.8309,4.025572,0.581435,0.137891,0.506192
0.85,4.830786,4.025557,0.578218,0.134675,0.504588
0.866667,4.830541,4.025549,0.575367,0.134002,0.502356
0.883333,4.830996,4.025647,0.576478,0.135548,0.504859
0.9,4.829077,4.025708,0.575912,0.136552,0.504656
0.916667,4.829417,4.025624,0.575876,0.135796,0.50398
0.933333,4.831916,4.025478,0.576761,0.136523,0.504032
0.95,4.830045,4.025496,0.575699,0.135752,0.503969
0.966667,4.832354,4.025397,0.576465,0.133639,0.499671
0.983333,4.832357,4.025417,0.571659,0.133319,0.50318
1,4.830399,4.025567,0.575311,0.135489,0.503304
1.016667,4.832711,4.025443,0.572913,0.136529,0.501895
1.033333,4.829242,4.025329,0.573861,0.133559,0.498207
1.05,4.831272,4.025271,0.574202,0.13424,0.499391
1.066667,4.830475,4.025455,0.570543,0.136158,0.498061
1.083333,4.829928,4.025421,0.570196,0.137071,0.496377
1.1,4.829652,4.019147,0.571039,0.177921,0.451546
1.116667,4.828667,4.018883,0.569875,0.173741,0.44766
1.133333,4.82718,4.018831,0.569945,0.178026,0.446807
1.15,4.82924,4.01888,0.571039,0.174856,0.447218
1.166667,4.830769,4.01876,0.57062,0.17572,0.446127
1.183333,4.830985,4.018718,0.57065,0.177627,0.445642
1.2,4.829206,4.018499,0.564862,0.172721,0.443025
1.216667,4.832768,4.018302,0.5635,0.175988,0.441291
1.233333,4.82963,4.018572,0.567973,0.174616,0.445199
1.25,4.833994,4.018282,0.564817,0.176433,0.440558
1.266667,4.832657,4.018166,0.56529,0.175774,0.442805
1.283333,4.830597,4.018072,0.565689,0.175572,0.440862
1.3,4.827653,4.01823,0.563256,0.173319,0.439993
1.316667,4.829809,4.01809,0.56146,0.176548,0.443639
1.333333,4.829491,4.017918,0.560765,0.177502,0.439901
1.35,4.832129,4.01779,0.559374,0.176965,0.440162
1.366667,4.833388,4.017796,0.562667,0.176421,0.438587
1.383333,4.829989,4.017768,0.561476,0.173627,0.436234
1.4,4.831029,4.017538,0.559419,0.171989,0.433232
1.416667,4.834267,4.017316,0.555416,0.180245,0.435924
1.433333,4.835602,4.017349,0.556695,0.177579,0.433332
1.45,4.831237,4.017302,0.559282,0.172968,0.435562
1.466667,4.828834,4.017164,0.55522,0.173257,0.431359
1.483333,4.828565,4.017168,0.555342,0.174557,0.433591
1.5,4.832949,4.016925,0.554615,0.175543,0.431103
1.516667,4.834064,4.016993,0.55622,0.175907,0.431927
1.533333,4.832088,4.016752,0.554843,0.174407,0.428906
1.55,4.830086,4.016655,0.550311,0.173624,0.425603
1.566667,4.828428,4.01653,0.550268,0.177128,0.422928
1.583333,4.833037,4.016384,0.547937,0.177031,0.427156
1.6,4.833177,4.022077,0.549346,0.138745,0.47027
1.616667,4.832499,4.022439,0.551326,0.135195,0.472058
1.633333,4.828825,4.022474,0.549168,0.13407,0.469326
1.65,4.831631,4.022244,0.547598,0.133677,0.467513
1.666667,4.832525,4.022248,0.547123,0.137629,0.469107
1.683333,4.832707,4.022054,0.545002,0.135911,0.46396
1.7,4.832999,4.021846,0.545645,0.135115,0.466147
1.716667,4.830955,4.021801,0.542368,0.13449,0.463723
1.733333,4.831781,4.021637,0.539654,0.134007,0.462639
1.75,4.832498,4.021506,0.542005,0.132989,0.460262
1.766667,4.833757,4.021513,0.541999,0.137599,0.460766
1.783333,4.831553,4.021279,0.539295,0.136825,0.462366
1.8,4.8308,4.021138,0.536143,0.134048,0.457651
1.816667,4.83114,4.021212,0.536992,0.132388,0.457183
1.833333,4.830237,4.020927,0.536371,0.136242,0.452147
1.85,4.833987,4.020824,0.538156,0.135112,0.456272
1.866667,4.831945,4.020617,0.533541,0.134173,0.454247
1.883333,4.829292,4.020485,0.53253,0.13255,0.452932
1.9,4.82882,4.020465,0.530508,0.134047,0.450299
1.916667,4.830489,4.020089,0.530519,0.136557,0.449166
1.933333,4.832091,4.020177,0.529554,0.13857,0.448854
1.95,4.833212,4.019989,0.52966,0.13304,0.445449
1.966667,4.831941,4.019851,0.526407,0.13473,0.445088
1.983333,4.831607,4.01963,0.528089,0.135243,0.443111
2,4.82885,4.019547,0.529053,0.13642,0.442439
2.016667,4.831982,4.019278,0.525561,0.137012,0.442203
2.033333,4.831464,4.019077,0.523941,0.136011,0.441707
2.05,4.830004,4.019042,0.521946,0.133943,0.437116
2.066667,4.831717,4.018824,0.522735,0.135042,0.437672
2.083333,4.827806,4.01876,0.518674,0.133621,0.437447
2.1,4.83186,4.018455,0.519129,0.138034,0.435338
2.116667,4.833271,4.018288,0.516893,0.135168,0.432223
2.133333,4.834838,4.018006,0.518884,0.136475,0.432678
2.15,4.832052,4.01779,0.512525,0.138119,0.428289
2.166667,4.830838,4.017666,0.515478,0.135851,0.426834
2.183333,4.831047,4.017633,0.513322,0.134476,0.431925
2.2,4.833813,4.017343,0.508547,0.136913,0.423122
2.216667,4.832079,4.017098,0.510326,0.135473,0.422837
2.233333,4.827345,4.017066,0.509659,0.133136,0.42549
2.25,4.828143,4.016767,0.506,0.133935,0.421353
2.266667,4.833747,4.016553,0.507069,0.137059,0.422295
2.283333,4.832608,4.0163,0.502983,0.13443,0.416847
2.3,4.83238,4.016181,0.50084,0.135449,0.416771
2.316667,4.830034,4.01591,0.498428,0.132964,0.413952
2.333333,4.83166,4.015817,0.498344,0.134999,0.412571
2.35,4.832958,4.015481,0.497559,0.132784,0.410951
2.366667,4.832252,4.015394,0.497368,0.133501,0.411696
2.383333,4.83343,4.015196,0.49558,0.135413,0.408983
2.4,4.830688,4.014947,0.493014,0.133924,0.407015
2.416667,4.830055,4.014668,0.491323,0.131419,0.405447
2.433333,4.832347,4.014448,0.490089,0.135925,0.402745
2.45,4.834515,4.014264,0.49016,0.134327,0.400558
2.466667,4.83256,4.014094,0.488793,0.135117,0.399043
2.483333,4.828736,4.013929,0.488632,0.135245,0.3972
2.5,4.830045,4.013727,0.48587,0.133857,0.397052
2.516667,4.832908,4.013373,0.484433,0.13442,0.393683
2.533333,4.831941,4.013101,0.485601,0.134513,0.392845
2.55,4.834452,4.012782,0.479898,0.136258,0.390023
2.566667,4.832698,4.012614,0.478013,0.135117,0.388417
2.583333,4.831039,4.012423,0.476374,0.132243,0.384701
2.6,4.830937,4.012175,0.476952,0.132195,0.385603
2.616667,4.833387,4.011852,0.472678,0.136442,0.387618
