time,vbus,vbat,ibus,iloa,ibat
0.016667,4.815502,3.475164,0.332069,0.154223,0.207963
0.033333,4.815502,3.475164,0.332069,0.154223,0.207963
0.05,4.814927,3.502843,0.675334,0.242983,0.565814
0.066667,4.816922,3.502864,0.668905,0.243249,0.562431
0.083333,4.818551,3.502818,0.666591,0.241193,0.555003
0.1,4.819309,3.502761,0.658932,0.237465,0.5494
0.116667,4.813657,3.502543,0.658389,0.240212,0.547842
0.133333,4.814727,3.502232,0.653186,0.238991,0.540498
0.15,4.815494,3.501548,0.641154,0.24165,0.527093
0.166667,4.816876,3.500573,0.631005,0.240388,0.507679
0.183333,4.816376,3.499837,0.621823,0.240342,0.498707
0.2,4.813373,3.498892,0.614844,0.240412,0.484006
0.216667,4.814902,3.4975,0.600528,0.240985,0.463623
0.233333,4.815902,3.496315,0.585138,0.241454,0.445893
0.25,4.815891,3.494776,0.56962,0.242001,0.422077
0.266667,4.817664,3.493042,0.553239,0.242709,0.396411
0.283333,4.812179,3.491592,0.538091,0.244863,0.379956
0.3,4.81329,3.490426,0.526632,0.241067,0.363387
0.316667,4.814649,3.49085,0.528722,0.240658,0.366282
0.333333,4.816481,3.49261,0.544207,0.240128,0.38976
0.35,4.816711,3.494498,0.562027,0.239474,0.414194
0.366667,4.814493,3.49635,0.582113,0.240422,0.442401
0.383333,4.814134,3.498156,0.597212,0.237525,0.467755
0.4,4.814317,3.499666,0.610019,0.238116,0.484854
0.416667,4.815168,3.501026,0.621232,0.238702,0.500116
0.433333,4.81488,3.502533,0.634084,0.240227,0.516137
0.45,4.813909,3.503551,0.648874,0.242613,0.531419
0.466667,4.813749,3.504881,0.662163,0.240126,0.549646
0.483333,4.814198,3.506226,0.670519,0.238427,0.565416
0.5,4.814302,3.5071,0.675163,0.236319,0.570767
0.516667,4.814592,3.507687,0.683233,0.236327,0.581987
0.533333,4.814391,3.508497,0.687936,0.238075,0.592344
0.55,4.816461,3.508945,0.693318,0.239795,0.595279
0.566667,4.814232,3.509323,0.697733,0.239467,0.599822
0.583333,4.816271,3.509571,0.694409,0.238189,0.597027
0.6,4.816929,3.509931,0.695506,0.238467,0.597059
0.616667,4.81531,3.51024,0.69778,0.238864,0.601862
0.633333,4.813473,3.510214,0.699627,0.235982,0.601743
0.65,4.815332,3.510245,0.692816,0.239119,0.600333
0.666667,4.817445,3.509608,0.687935,0.239258,0.586306
0.683333,4.81538,3.509434,0.684053,0.236721,0.583327
0.7,4.815372,3.509058,0.678724,0.237736,0.575263
0.716667,4.813235,3.508527,0.668761,0.238008,0.569553
0.733333,4.811876,3.50779,0.662972,0.235901,0.559528
0.75,4.815088,3.506775,0.654406,0.236356,0.541834
0.766667,4.816843,3.505687,0.639316,0.237421,0.521285
0.783333,4.815894,3.50441,0.630453,0.238192,0.506932
0.8,4.812586,3.503319,0.619131,0.242741,0.489806
0.816667,4.812059,3.501824,0.601179,0.236943,0.47101
0.833333,4.815977,3.500685,0.583726,0.238295,0.450482
0.85,4.815364,3.49904,0.570495,0.239802,0.429449
0.866667,4.812631,3.49737,0.55283,0.235275,0.405652
0.883333,4.815424,3.495439,0.53452,0.242391,0.376122
0.9,4.81358,3.493541,0.517331,0.242508,0.349095
0.916667,4.815192,3.491719,0.495195,0.240442,0.324617
0.933333,4.819072,3.489396,0.472418,0.242579,0.288648
0.95,4.816036,3.487727,0.456602,0.24031,0.267027
0.966667,4.815134,3.487578,0.456447,0.236727,0.270419
0.983333,4.813667,3.488713,0.467722,0.238204,0.286655
1,4.816029,3.489641,0.472753,0.23495,0.301204
1.016667,4.816171,3.4908,0.483064,0.233064,0.314351
1.033333,4.817306,3.491517,0.493033,0.235895,0.32742
1.05,4.811368,3.492198,0.502446,0.239162,0.336927
1.066667,4.812127,3.492829,0.508562,0.234683,0.346726
1.083333,4.812886,3.493646,0.511793,0.234799,0.354003
1.1,4.815328,3.492024,0.513254,0.254296,0.328115
1.116667,4.815292,3.490185,0.517414,0.27573,0.302568
1.133333,4.815428,3.490323,0.520267,0.274456,0.308068
1.15,4.813797,3.490217,0.517786,0.276933,0.302657
1.166667,4.815971,3.489935,0.515634,0.277507,0.30051
1.183333,4.816584,3.489729,0.511123,0.271498,0.297256
1.2,4.815297,3.489637,0.509527,0.273077,0.295332
1.216667,4.813071,3.48909,0.503608,0.275795,0.289428
1.233333,4.812874,3.488456,0.500371,0.27694,0.282905
1.25,4.814386,3.487565,0.490304,0.277881,0.263551
1.266667,4.8181,3.486663,0.476844,0.275697,0.255233
1.283333,4.816872,3.48558,0.47009,0.273653,0.237881
